name,abv,image_url
WHISKY.MY Club Annual Membership,1 Year,"https://whisky.my/cdn-cgi/image/width=1080,height=1080,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/WHISKY.MY-Membership-.jpg"
MAKER’S MARK Bourbon Whisky,45%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/makers-mark.jpg"
Lambrusco Emilia Amabile Ambassadors,7.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Lambrusco-Emilia-Amabile-Ambassadors.jpg"
GORDON’S London Dry Gin,37%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/GORDON%E2%80%99S-London-Dry-Gin.jpg"
MALIBU Caribbean Rum,21%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/MALIBU-Caribbean-Rum.jpg"
LYRE’S Non-Alcoholic Pink London Spirit,70cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LYRES-Non-Alcoholic-Pink-London-Spirit.jpg"
THE BOTANIST Islay Dry Gin,46%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/THE-BOTANIST-Islay-Dry-Gin-2.jpg"
ARDBEG Wee Beastie,47.4%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/ARDBEG-Wee-Beastie.jpg"
JOSE CUERVO Especial Silver Tequila,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JOSE-CUERVO-Especial-Silver-Tequila.png"
LAPHROAIG Quarter Cask⚡,48%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LAPHROAIG-Quarter-Cask.jpg"
YAMAZAKI Distiller’s Reserve,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/YAMAZAKI-Distiller%E2%80%99s-Reserve.jpg"
SUIGEI Tokubetsu Junmai 1.8L,1.8L,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SUIGEI-Tokubetsu-Junmai-1.8L.jpg"
JACOB CREEK Classic Shiraz,14%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JACOB-CREEK-Classic-Shiraz.jpg"
LAPHROAIG 10,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LAPHROAIG-10-Year-Old.jpg"
Roku Gin With Furoshiki Bag,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Roku-Gin-With-Furoshiki-Bag.jpg"
ILPOOM JINRO Chinese New Year Gift Set,25%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/ILPOOM-JINRO-Gift-Pack-FOC-4-SHOT-GLASSES.jpg"
SUZUKAGAWA Junmai Daiginjo,15%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SUZUKAGAWA-Junmai-Daiginjo.jpg"
LA FEE Absinthe Parisienne,68%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LA-FEE-Absinthe-Parisienne.jpg"
FEVER TREE Elderflower Tonic Water,0%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/FEVER-TREE-Elderflower-Tonic-Water-6-Bottles.jpg"
Hakutsuru Josen Sake,15.3%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/HAKUTSURU-Josen-Sake-1.8L.jpg"
FOUR PILLARS Bloody Shiraz Gin,37.8%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Four-Pillars-Bloody-Shiraz-Gin.jpg"
CLARO Cabernet Sauvignon,13%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/CLARO-Cabernet-Sauvignon-2018.png"
KAHLUA Coffee Liqueur,20%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/KAHLUA-Coffee-Liqueur.jpg"
JAGERMEISTER Liqueur⚡,35%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/JAGERMEISTER-Liqueur.jpg"
MOET & CHANDON Brut Nv Mini,12%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/MOET-CHANDON-Brut-Nv-Mini.jpg"
VINA’0° Le Chardonnay Organic Alcohol Removed Wine,75cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/VINA0%C2%B0-Le-Chardonnay-Organic-Alcohol-Removed-Wine.jpg"
LYRE’S Non-Alcoholic Dry London Spirit,70cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/LYRES-Non-Alcoholic-Dry-London-Spirit.jpg"
THE BALVENIE Double Wood 12 Year Old,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/THE-BALVENIE-Double-Wood-12-Year-Old.jpg"
CHOYA Royal Honey,17%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/CHOYA-Royal-Honey-1.jpg"
FEVER TREE Club Soda,0%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/FEVER-TREE-Club-Soda-6-bottles.jpg"
RAIZ Merlot,11.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/RAIZ-Merlot.png"
CHIVAS REGAL 12 Year Old,70cl,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/CHIVAS-REGAL-12-Year-Old-2.jpg"
CLOUDY BAY Sauvignon Blanc,13.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/CLOUDY-BAY-Sauvignon-Blanc.jpg"
AMRUT Fusion,50%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/AMRUT-Fusion.jpg"
KETEL ONE Vodka,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/KETEL-One-Vodka.png"
Monkey 47 Schwarzwald Dry Gin,47%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Monkey-47-Dry-Gin.png"
Glenmorangie Lasanta 12 years Scotch Whisky,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Glenmorangie-Lasanta-12-years-Scotch-Whisky-With-Glass.jpg"
BOMBAY SAPPHIRE London Dry Gin,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BOMBAY-SAPPHIRE-London-Dry-Gin.jpg"
SO JENNIE Blanc Dry,0%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/So-Jennie-Blanc-Dry-1.jpg"
SINGLETON Of Glen Ord 12 Year Old Sherry Cask,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SINGLETON-Of-Glen-Ord-12-Year-Old-Sherry-Cask-1.jpg"
AT-SERIES “Classic” Merlot,13%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/AT-SERIES-%EF%80%A0Classic%EF%80%A0-Merlot-2017.jpg"
